População  residente -  total
Sigla,Código,Meso-região,1950,1960,1970,1980,1991,1996,2000,2007,2010,
AC,1201,Vale do Juruá,50503,65253,83214,105777,122248,137390,157978,190910,206084,
AC,1202,Vale do Acre,64252,93599,132085,195499,295470,346203,399904,464475,527475,
AL,2701,Sertão Alagoano,184696,205593,255448,315923,372901,382988,413808,425843,432667,
AL,2702,Agreste Alagoano,196055,249267,375218,453509,537179,547998,581860,605126,623302,
AL,2703,Leste Alagoano,712386,801299,957402,1213483,1604020,1702265,1832188,2006134,2064525,
AM,1301,Norte Amazonense,19119,45147,43479,49403,86235,90065,101720,118035,121337,
AM,1302,Sudoeste Amazonense,82672,108392,124293,163811,222459,269029,313169,331522,351939,
AM,1303,Centro Amazonense,313382,442339,655606,1052803,1570685,1822862,2167589,2506783,2726732,
AM,1304,Sul Amazonense,98926,118896,131825,164511,223864,207323,234775,265599,283977,
AP,1601,Norte do Amapá,11778,14178,17636,17373,25500,28232,36144,51077,53934,
AP,1602,Sul do Amapá,25699,54342,96594,157885,263897,351227,440888,536234,615592,
BA,2901,Extremo Oeste Baiano,179347,211104,279332,345927,450221,473057,496048,553758,579253,
BA,2902,Vale São-Franciscano da Bahia,300342,329918,459765,631596,769963,829486,877034,978414,964405,
BA,2903,Centro Norte Baiano,837209,943774,1274046,1590455,2018116,2092343,2081821,2224075,2226300,
BA,2904,Nordeste Baiano,615423,722929,905945,1089708,1372965,1382233,1465232,1514079,1545922,
BA,2905,Metropolitana de Salvador,914076,1232506,1665333,2361515,3134886,3374566,3717384,4322393,4210499,
BA,2906,Centro Sul Baiano,1267390,1450978,1674032,1901887,2264255,2459178,2477798,2480647,2478787,
BA,2907,Sul Baiano,720788,1027843,1234984,1534304,1857585,1930812,1970451,2007288,2011740,
CE,2301,Noroeste Cearense,572935,637603,800298,902503,1029159,1085004,1178307,1275910,1326771,
CE,2302,Norte Cearense,434935,516414,611100,672581,750397,792235,876470,957529,1006582,
CE,2303,Metropolitana de Fortaleza,413108,668166,1070114,1627050,2357100,2645278,2930374,3376883,3468137,
CE,2304,Sertões Cearenses,451871,536001,713769,773234,776629,775228,814125,854035,869778,
CE,2305,Jaguaribe,237213,265538,338800,387827,428889,453382,484830,515830,528274,
CE,2306,Centro-Sul Cearense,191716,228522,283757,306177,337282,336481,357623,366713,376239,
CE,2307,Sul Cearense,393672,437351,543765,619057,687191,721682,789868,838386,876600,
DF,5301,Distrito Federal,,139796,537492,1176908,1601094,1821946,2051146,2455903,2570160,
ES,3201,Noroeste Espírito-santense,218631,472774,367299,363320,358415,362841,387205,392015,413065,
ES,3202,Litoral Norte Espírito-santense,118415,187847,271639,320837,405986,436088,459500,497320,548850,
ES,3203,Central Espírito-santense,273326,380230,606946,955452,1380161,1524240,1719008,1907522,1987103,
ES,3204,Sul Espírito-santense,346866,377497,353440,383729,456056,479538,531784,554812,565934,
GO,5201,Noroeste Goiano,136444,109482,163968,196848,216445,216430,219901,216528,220541,
GO,5202,Norte Goiano,49597,99423,172826,238423,290182,283535,282521,281061,294110,
GO,5203,Centro Goiano,325924,714836,1155939,1571958,2042273,2300832,2536110,2924950,3056794,
GO,5204,Leste Goiano,129604,161338,210978,328653,558241,733060,907456,1063068,1159722,
GO,5205,Sul Goiano,369312,508709,713179,785243,911762,981110,1058208,1161428,1272621,
MA,2101,Norte Maranhense,615475,847570,1058643,1425215,1785526,1951392,2147128,2410001,2605412,
MA,2102,Oeste Maranhense,59867,297292,438420,733355,1080060,1139949,1241181,1314126,1409940,
MA,2103,Centro Maranhense,240288,509909,598581,734298,794406,802205,843035,855512,915039,
MA,2104,Leste Maranhense,560287,696239,759170,934489,1046936,1090701,1169028,1252495,1336005,
MA,2105,Sul Maranhense,107331,126361,137864,169087,223325,237936,257181,286861,308393,
MG,3101,Noroeste de Minas,118173,156796,232170,278914,305285,314179,334534,350489,366418,
MG,3102,Norte de Minas,611153,821194,980658,1127127,1359049,1387865,1495284,1581867,1610413,
MG,3103,Jequitinhonha,477285,528250,593384,604176,658238,659142,679850,694888,699413,
MG,3104,Vale do Mucuri,307905,615176,438140,387772,394988,380472,382976,376667,385413,
MG,3105,Triângulo Mineiro/Alto Paranaíba,716977,918444,1095164,1337305,1595648,1735587,1871237,2092131,2144482,
MG,3106,Central Mineira,230254,276118,306922,312667,348315,365150,381602,397475,412712,
MG,3107,Metropolitana de Belo Horizonte,1179107,1683037,2527677,3598468,4620624,5061255,5588300,6259573,6236117,
MG,3108,Vale do Rio Doce,879906,1212429,1372429,1394262,1461404,1474853,1535178,1591392,1620993,
MG,3109,Oeste de Minas,416038,490871,537891,618946,726059,787614,839112,918398,955030,
MG,3110,Sul/Sudoeste de Minas,1256103,1391254,1458498,1667651,1961401,2094039,2251628,2346077,2438611,
MG,3111,Campo das Vertentes,259873,322958,368266,413851,464983,490410,511956,537952,554354,
MG,3112,Zona da Mata,1329414,1543513,1574464,1638966,1847158,1922047,2033478,2126597,2173374,
MS,5001,Pantanais Sul Mato-grossense,75847,117495,163994,182157,201407,204345,222589,229739,244099,
MS,5002,Centro Norte de Mato Grosso do Sul,84148,141545,242389,416408,666291,749729,827990,914611,991025,
MS,5003,Leste de Mato Grosso do Sul,48306,97590,180125,212720,267368,294280,317109,349726,381394,
MS,5004,Sudoeste de Mato Grosso do Sul,101094,215388,411652,558484,645307,679480,710382,771198,832506,
MT,5101,Norte Mato-grossense,8207,9197,14195,164472,530699,592825,709128,885570,942751,
MT,5102,Nordeste Mato-grossense,6628,15075,31578,102027,177999,212973,227659,257801,276901,
MT,5103,Sudoeste Mato-grossense,5962,6923,31826,177765,234368,259911,278110,310334,320119,
MT,5104,Centro-Sul Mato-grossense,140456,201694,330471,474722,794898,847978,931042,994883,1047416,
MT,5105,Sudeste Mato-grossense,51396,91956,190779,219932,289267,322145,359306,406054,447935,
PA,1501,Baixo Amazonas,153326,221953,304489,467422,560797,577670,638320,682969,736432,
PA,1502,Marajó,153265,178589,214295,283029,317022,340744,380555,438694,487010,
PA,1503,Metropolitana de Belém,322835,489473,774288,1175563,1620564,1832257,2086551,2388927,2437297,
PA,1504,Nordeste Paraense,452515,581216,721752,1008983,1218214,1315722,1475673,1622402,1789387,
PA,1505,Sudoeste Paraense,18531,25576,39825,104209,344008,399464,422226,493443,483411,
PA,1506,Sudeste Paraense,22801,41386,112349,364292,889455,1044992,1192640,1439138,1647514,
PB,2501,Sertão Paraibano,462478,542799,674988,764450,802825,801151,819855,847330,863178,
PB,2502,Borborema,181104,191856,234880,263526,268336,267843,277116,291476,298263,
PB,2503,Agreste Paraibano,707417,797154,894885,996924,1110553,1132091,1151229,1186906,1213279,
PB,2504,Mata Paraibana,362260,459336,577710,745446,1019400,1104531,1196594,1315683,1391808,
PE,2601,Sertão Pernambucano,449547,493810,659044,781957,874080,865312,912534,964049,996830,
PE,2602,São Francisco Pernambucano,95955,121342,195361,271873,380991,419937,465927,540156,578203,
PE,2603,Agreste Pernambucano,1286821,1370136,1539923,1666418,1818575,1873584,2000351,2098617,2217600,
PE,2604,Mata Pernambucana,719453,834838,939124,1035528,1132544,1150450,1210725,1221445,1310638,
PE,2605,Metropolitana de Recife,843990,1261821,1828414,2387727,2921665,3089788,3339616,3661119,3693177,
PI,2201,Norte Piauiense,269328,293274,380262,460343,528027,550483,576343,614286,632883,
PI,2202,Centro-Norte Piauiense,382671,495203,677053,906084,1167577,1229526,1317847,1405228,1446398,
PI,2203,Sudoeste Piauiense,181483,228012,307246,380967,438427,443437,469304,503486,511616,
PI,2204,Sudeste Piauiense,212214,232711,316012,391802,448106,449639,479933,509421,519395,
PR,4101,Noroeste Paranaense,,512758,962778,746543,655509,628840,641084,652605,678319,
PR,4102,Centro Ocidental Paranaense,32948,230971,528734,406734,387451,356191,346686,331220,334125,
PR,4103,Norte Central Paranaense,517595,1150326,1521540,1459566,1638677,1724115,1829191,1954862,2037183,
PR,4104,Norte Pioneiro Paranaense,423744,608559,705953,571713,555339,540178,548190,540296,546224,
PR,4105,Centro Oriental Paranaense,216751,253742,355253,472655,547559,581143,623356,674124,689279,
PR,4106,Oeste Paranaense,16421,135036,752432,960775,1016481,1078584,1138626,1245391,1219558,
PR,4107,Sudoeste Paranaense,,212628,446360,521269,478126,472425,472626,476540,497127,
PR,4108,Centro-Sul Paranaense,245458,242638,338136,484245,501428,526914,533799,543564,544190,
PR,4109,Sudeste Paranaense,207338,222908,267830,302530,348617,360914,377612,396081,404779,
PR,4110,Metropolitana de Curitiba,455292,694155,1050805,1703819,2319526,2734500,3053473,3469820,3493742,
RJ,3301,Noroeste Fluminense,267245,259680,230153,229782,273062,283596,297837,307032,317493,
RJ,3302,Norte Fluminense,381458,449704,486446,527590,611576,653844,699292,766246,849515,
RJ,3303,Centro Fluminense,243541,273906,303540,354123,425722,434338,452646,464746,481357,
RJ,3304,Baixadas,99486,124477,170498,225485,304153,379964,462325,591262,700842,
RJ,3305,Sul Fluminense,260668,372238,503045,678243,803752,860442,933983,1026143,1062237,
RJ,3306,Metropolitana do Rio de Janeiro,3422247,5169641,7301120,9276408,10389441,10794124,11546023,12264946,12578485,
RN,2401,Oeste Potiguar,269851,332781,462860,568272,688776,710312,742075,789009,826707,
RN,2402,Central Potiguar,210403,213239,282297,299749,341854,340337,360612,373814,381846,
RN,2403,Agreste Potiguar,182307,234311,290707,317615,353135,372929,388785,411537,426757,
RN,2404,Leste Potiguar,305360,360492,514320,713199,1031802,1135082,1286037,1439380,1532717,
RO,1101,Madeira-Guaporé,36935,70232,111064,168633,337741,389725,472373,543357,611689,
RO,1102,Leste Rondoniense,,,,322392,794951,839581,908579,910399,950720,
RR,1401,Norte de Roraima,17247,25705,36464,67017,176126,202758,260596,316336,362681,
RR,1402,Sul de Roraima,869,3166,4421,12104,41457,44373,63801,79389,87798,
RS,4301,Noroeste Rio-grandense,1112872,1482733,1791995,1905566,1943386,1955327,1959688,1937239,1946510,
RS,4302,Nordeste Rio-grandense,417748,465023,560344,648540,784798,855752,923118,1001725,1054203,
RS,4303,Centro Ocidental Rio-grandense,252730,345446,407563,430890,479797,503970,526558,541027,536938,
RS,4304,Centro Oriental Rio-grandense,452660,505133,559246,585851,664328,698008,732957,761062,778841,
RS,4305,Metropolitana de Porto Alegre,1036556,1525140,2137832,2877991,3757500,4052528,4403498,4709718,4742302,
RS,4306,Sudoeste Rio-grandense,406308,476964,555285,606267,694571,721381,747115,713743,723005,
RS,4307,Sudeste Rio-grandense,485947,588220,652576,718744,814290,847722,894908,918326,912130,
SC,4201,Oeste Catarinense,280199,470431,745638,931330,1051083,1077901,1116963,1152766,1200712,
SC,4202,Norte Catarinense,269620,330647,421703,610697,838211,935716,1026606,1141018,1212843,
SC,4203,Serrana,184352,255930,324298,349638,375121,372262,401184,406765,406741,
SC,4204,Vale do Itajaí,328382,446643,577746,723221,943620,1057132,1187183,1365250,1508980,
SC,4205,Grande Florianópolis,182735,238620,328034,446281,619265,668561,803255,923940,994095,
SC,4206,Sul Catarinense,315214,386981,504241,567125,714694,763672,822671,876513,925065,
SE,2801,Sertão Sergipano,69235,81584,118326,152206,167949,173344,196364,211675,224691,
SE,2802,Agreste Sergipano,211783,236909,259201,295095,348879,374578,404934,429187,446207,
SE,2803,Leste Sergipano,363343,433285,523152,693078,975048,1076098,1183531,1298564,1397119,
SP,3501,São José do Rio Preto,689160,924165,981687,1040241,1242883,1337580,1421152,1505728,1569220,
SP,3502,Ribeirão Preto,747315,906502,1074329,1348482,1806475,1957436,2104682,2246443,2376360,
SP,3503,Araçatuba,399061,452203,481732,491392,577610,608580,635539,669167,695801,
SP,3504,Bauru,667602,738297,742040,888789,1118828,1215376,1309726,1416746,1454111,
SP,3505,Araraquara,241955,283995,336198,450997,609306,665396,719326,770447,810926,
